collision_ffb_sequence,collision_ffb_publish_enabled,collision_ffb_publish_success,collision_ffb_risk_level,collision_ffb_active,collision_ffb_requested_magnitude,collision_ffb_pattern,collision_ffb_reason,collision_ffb_publish_error,collision_ffb_challenge_received_count,collision_ffb_challenge_age_sec,collision_ffb_challenge_session_id,collision_ffb_challenge_token,source_frame,source_time_sec,send_monotonic_sec,elapsed_sec
114,1,1,CLEAR,0,0.0,off,no_alert,,444,0.007422366001264891,7826491368805603054,33071,115,3.837338,14213.504122593,8.91256377299942
115,1,1,CLEAR,0,0.0,off,no_alert,,446,0.002791180999338394,7826491368805603054,33073,116,3.866533,14213.537964467,8.946405646998755
116,1,1,PATH,0,0.0,off,no_alert,,447,0.01661280999906012,7826491368805603054,33074,117,3.900267,14213.571793233,8.98023441300029
117,1,1,PATH,0,0.0,off,no_alert,,449,0.010287058001267724,7826491368805603054,33076,118,3.931367,14213.605700794,9.014141973999358
118,1,1,CLEAR,0,0.0,off,no_alert,,451,0.004451284999959171,7826491368805603054,33078,119,3.96591,14213.63982054,9.048261719999573
119,1,1,CLEAR,0,0.0,off,no_alert,,452,0.018534530001488747,7826491368805603054,33079,120,3.995925,14213.673756467,9.082197646999703
120,1,1,PATH,0,0.0,off,no_alert,,454,0.012380740001390222,7826491368805603054,33081,121,4.029018,14213.707761642,9.11620282199874
121,1,1,PATH,0,0.0,off,no_alert,,456,0.005104268999275519,7826491368805603054,33083,122,4.059481,14213.742108943,9.150550123000357
122,1,1,CLEAR,0,0.0,off,no_alert,,458,0.0010317959986423375,7826491368805603054,33085,123,4.089619,14213.77638547,9.184826650000105
123,1,1,CLEAR,0,0.0,off,no_alert,,459,0.015148779999435646,7826491368805603054,33086,124,4.12277,14213.810679986,9.21912116599924
124,1,1,PATH,0,0.0,off,no_alert,,461,0.00926051200076472,7826491368805603054,33088,125,4.154366,14213.844861341,9.253302520999569
125,1,1,PATH,0,0.0,off,no_alert,,463,0.0036041339990333654,7826491368805603054,33090,126,4.188115,14213.879096321,9.287537500998951
126,1,1,PATH,0,0.0,off,no_alert,,464,0.01779918800093583,7826491368805603054,33091,127,4.22127,14213.913288124,9.321729303999746
127,1,1,PATH,0,0.0,off,no_alert,,466,0.011706625000442727,7826491368805603054,33093,128,4.252579,14213.947306279,9.355747458999758
128,1,1,PATH,0,0.0,off,no_alert,,468,0.005283545999191119,7826491368805603054,33095,129,4.284158,14213.981150801,9.389591981000194
129,1,1,PATH,0,0.0,off,no_alert,,469,0.019222807999540237,7826491368805603054,33096,130,4.321314,14214.015037605,9.423478785000043
130,1,1,PATH,0,0.0,off,no_alert,,471,0.013288173000546522,7826491368805603054,33098,131,4.353311,14214.04891305,9.4573542299986
131,1,1,PATH,0,0.0,off,no_alert,,473,0.006967205999899306,7826491368805603054,33100,132,4.383638,14214.082886251,9.491327431000173
132,1,1,PATH,0,0.0,off,no_alert,,475,0.0008665939985803561,7826491368805603054,33102,133,4.422117,14214.117044367,9.525485546999334
133,1,1,PATH,0,0.0,off,no_alert,,476,0.015498213000682881,7826491368805603054,33103,134,4.451881,14214.151144215,9.559585394999885
134,1,1,PATH,0,0.0,off,no_alert,,478,0.005452080000395654,7826491368805603054,33105,135,4.483204,14214.185112613,9.593553792999955
135,1,1,PATH,0,0.0,off,no_alert,,480,0.0034611519986356143,7826491368805603054,33107,136,4.521331,14214.219035428,9.627476607998688
136,1,1,PATH,0,0.0,off,no_alert,,481,0.01752910899995186,7826491368805603054,33108,137,4.552414,14214.253198075,9.66163925499859
137,1,1,PATH,0,0.0,off,no_alert,,483,0.01193613000032201,7826491368805603054,33110,138,4.584992,14214.287284746,9.695725925999795
138,1,1,PATH,0,0.0,off,no_alert,,485,0.005682401999365538,7826491368805603054,33112,139,4.61941,14214.321378018,9.72981919799895
139,1,1,PATH,0,0.0,off,no_alert,,487,0.0008997720015031518,7826491368805603054,33114,140,4.652636,14214.356252772,9.764693952000016
140,1,1,PATH,0,0.0,off,no_alert,,488,0.01484347599944158,7826491368805603054,33115,141,4.684984,14214.390496148,9.798937327999738
141,1,1,PATH,0,0.0,off,no_alert,,490,0.009481344999585417,7826491368805603054,33117,142,4.718913,14214.424595689,9.833036869000352
142,1,1,PATH,0,0.0,off,no_alert,,492,0.0033312889991066186,7826491368805603054,33119,143,4.752587,14214.458662617,9.8671037969998
143,1,1,PATH,0,0.0,off,no_alert,,493,0.017124687999967136,7826491368805603054,33120,144,4.784688,14214.492768917,9.90121009699942
144,1,1,PATH,0,0.0,off,no_alert,,495,0.010313026999938302,7826491368805603054,33122,145,4.821066,14214.526880228,9.935321408000164
145,1,1,PATH,0,0.0,off,no_alert,,497,0.004821687998628477,7826491368805603054,33124,146,4.851868,14214.561245056,9.969686235999689
146,1,1,PATH,0,0.0,off,no_alert,,499,0.00036161599928163923,7826491368805603054,33126,147,4.884709,14214.595589692,10.00403087199993
147,1,1,PATH,0,0.0,off,no_alert,,500,0.01111785799912468,7826491368805603054,33127,148,4.920732,14214.629502018,10.037943197999994
148,1,1,PATH,0,0.0,off,no_alert,,502,0.005015803999413038,7826491368805603054,33129,149,4.950777,14214.663661686,10.072102865999113
149,1,1,WARNING,1,0.25,steady,ttc_warning:cadence_triple,,504,0.002371239001149661,7826491368805603054,33131,150,4.983019,14214.697708256,10.106149436000123
150,1,1,WARNING,1,0.25,steady,ttc_warning:cadence_triple,,505,0.01631169500069518,7826491368805603054,33132,151,5.021335,14214.731957882,10.140399062000142
151,1,1,WARNING,1,0.25,steady,ttc_warning:cadence_triple,,507,0.010600684001474292,7826491368805603054,33134,152,5.050675,14214.766364097,10.174805276999905
152,1,1,CLEAR,0,0.0,off,cadence_gap:triple,,509,0.004947374000039417,7826491368805603054,33136,153,5.084081,14214.800512568,10.208953747998748
153,1,1,CLEAR,0,0.0,off,cadence_gap:triple,,510,0.019100675999652594,7826491368805603054,33137,154,5.118563,14214.834694869,10.243136048999077
154,1,1,WARNING,1,0.25,steady,ttc_warning:cadence_triple,,512,0.011895718000232591,7826491368805603054,33139,155,5.15002,14214.869018209,10.277459388998977
155,1,1,WARNING,1,0.25,steady,ttc_warning:cadence_triple,,514,0.006800769000619766,7826491368805603054,33141,156,5.182046,14214.90334443,10.311785609999788
156,1,1,WARNING,1,0.25,steady,ttc_warning:cadence_triple,,516,0.0023247320004884386,7826491368805603054,33143,157,5.218292,14214.937440514,10.345881694000127
157,1,1,CLEAR,0,0.0,off,cadence_gap:triple,,517,0.013281570998515235,7826491368805603054,33144,158,5.250142,14214.97132274,10.379763920000187
158,1,1,CLEAR,0,0.0,off,cadence_gap:triple,,519,0.006802447000154643,7826491368805603054,33146,159,5.282312,14215.005316579,10.413757758999054
159,1,1,WARNING,1,0.25,steady,ttc_warning:cadence_triple,,521,0.004137441999773728,7826491368805603054,33148,160,5.319734,14215.0394633,10.447904479999124
160,1,1,WARNING,1,0.25,steady,ttc_warning:cadence_triple,,522,0.017207675000463496,7826491368805603054,33149,161,5.35025,14215.073540244,10.481981423999969
161,1,1,WARNING,1,0.25,steady,ttc_warning:cadence_triple,,524,0.012222038998515927,7826491368805603054,33151,162,5.382906,14215.107548702,10.515989882000213
162,1,1,CLEAR,0,0.0,off,cadence_gap:triple,,526,0.000605119999818271,7826491368805603054,33153,163,5.419059,14215.141519453,10.5499606329995
163,1,1,CLEAR,0,0.0,off,cadence_gap:triple,,527,0.013010192998990533,7826491368805603054,33154,164,5.450854,14215.175224869,10.583666049000385
164,1,1,CLEAR,0,0.0,off,cadence_complete,,529,0.013694177001525532,7826491368805603054,33156,165,5.484275,14215.20911985,10.617561029999706
165,1,1,CLEAR,0,0.0,off,cadence_complete,,531,0.007838169000024209,7826491368805603054,33158,166,5.521437,14215.243322636,10.651763816000312
166,1,1,CLEAR,0,0.0,off,cadence_complete,,533,0.001975486999072018,7826491368805603054,33160,167,5.550176,14215.277271086,10.685712266000337
167,1,1,CLEAR,0,0.0,off,cadence_complete,,534,0.016120434998811106,7826491368805603054,33161,168,5.584437,14215.311226768,10.719667948000279
168,1,1,CLEAR,0,0.0,off,cadence_complete,,536,0.009355293999760761,7826491368805603054,33163,169,5.620768,14215.345402406,10.753843585998766
169,1,1,CLEAR,0,0.0,off,cadence_complete,,538,0.0031798830004845513,7826491368805603054,33165,170,5.653727,14215.379334128,10.787775307999254
170,1,1,CLEAR,0,0.0,off,cadence_complete,,539,0.017920907001098385,7826491368805603054,33166,171,5.684341,14215.41350487,10.821946050000406
171,1,1,CLEAR,0,0.0,off,cadence_complete,,541,0.012404978000631672,7826491368805603054,33168,172,5.721454,14215.447948156,10.856389335998756
172,1,1,CLEAR,0,0.0,off,cadence_complete,,543,0.0056049739996524295,7826491368805603054,33170,173,5.754103,14215.482229744,10.890670924000005
173,1,1,CLEAR,0,0.0,off,cadence_complete,,545,0.0005439380001917016,7826491368805603054,33172,174,5.784621,14215.516284778,10.924725957998817
174,1,1,CLEAR,0,0.0,off,cadence_complete,,546,0.01485557100022561,7826491368805603054,33173,175,5.819618,14215.550517552,10.958958731998791
175,1,1,CLEAR,0,0.0,off,cadence_complete,,548,0.00919655300094746,7826491368805603054,33175,176,5.852936,14215.584545224,10.992986403998657
176,1,1,CLEAR,0,0.0,off,cadence_complete,,550,0.00293653200060362,7826491368805603054,33177,177,5.8845,14215.618528358,11.026969537999321
177,1,1,CLEAR,0,0.0,off,cadence_complete,,551,0.01689288600027794,7826491368805603054,33178,178,5.920884,14215.652576648,11.061017828000331
178,1,1,CLEAR,0,0.0,off,cadence_complete,,553,0.011029760000383249,7826491368805603054,33180,179,5.952854,14215.68652888,11.094970059999469
179,1,1,CLEAR,0,0.0,off,cadence_complete,,555,0.004481871001189575,7826491368805603054,33182,180,5.984516,14215.720434776,11.12887595599932
180,1,1,CLEAR,0,0.0,off,cadence_complete,,556,0.018823655998858158,7826491368805603054,33183,181,6.019859,14215.754340165,11.16278134499953
181,1,1,CLEAR,0,0.0,off,cadence_complete,,558,0.012806321999960346,7826491368805603054,33185,182,6.052844,14215.788226888,11.19666806799978
182,1,1,CLEAR,0,0.0,off,cadence_complete,,560,0.006526240998937283,7826491368805603054,33187,183,6.084264,14215.82213374,11.230574919998617
183,1,1,CLEAR,0,0.0,off,cadence_complete,,562,0.0006022559991833987,7826491368805603054,33189,184,6.121501,14215.85618971,11.264630890000262
184,1,1,CLEAR,0,0.0,off,cadence_complete,,563,0.014687386999867158,7826491368805603054,33190,185,6.152418,14215.890101574,11.298542753998845
185,1,1,CLEAR,0,0.0,off,cadence_complete,,565,0.008188056999642868,7826491368805603054,33192,186,6.18502,14215.92416374,11.33260491999863
