dataset_role,source,session,normalization_mode,threshold,reference_x_m,reference_z_m,reference_ground_distance_m,reference_raw_ground_distance_m,detected_observations,stable_inlier_observations,stable_inlier_accepted,stable_inlier_acceptance_rate,outlier_observations,outlier_rejected,outlier_rejection_rate,median_normalized_area,stable_acceptance_decision
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,static_right_xp0p40_z1p00_r01_20260818_165227_107,raw_ground_distance,1800.0,0.3270813601855613,1.052899985579539,1.1025337164069995,1.1660423403611737,559,559,559,1.0,0,0,nan,3355.627897122929,PASS
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,static_right_xp0p40_z1p00_r01_20260818_165227_107,raw_ground_distance,2000.0,0.3270813601855613,1.052899985579539,1.1025337164069995,1.1660423403611737,559,559,559,1.0,0,0,nan,3355.627897122929,PASS
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,static_right_xp0p40_z1p00_r01_20260818_165227_107,raw_ground_distance,2503.678448310634,0.3270813601855613,1.052899985579539,1.1025337164069995,1.1660423403611737,559,559,559,1.0,0,0,nan,3355.627897122929,PASS
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,x-0.4mz1.0m_1_20260825_132457_315,forward_z,1800.0,-0.29543356170670837,0.9364831532489887,0.9819784548053385,1.073557966033425,590,590,510,0.864406779661017,0,0,nan,1924.1395277242564,FAIL
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,x-0.4mz1.0m_1_20260825_132457_315,forward_z,2000.0,-0.29543356170670837,0.9364831532489887,0.9819784548053385,1.073557966033425,590,590,7,0.011864406779661017,0,0,nan,1924.1395277242564,FAIL
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,x-0.4mz1.0m_1_20260825_132457_315,forward_z,2503.678448310634,-0.29543356170670837,0.9364831532489887,0.9819784548053385,1.073557966033425,590,590,0,0.0,0,0,nan,1924.1395277242564,FAIL
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,x-0.4mz1.0m_1_20260825_132457_315,calibrated_ground_distance,1800.0,-0.29543356170670837,0.9364831532489887,0.9819784548053385,1.073557966033425,590,590,542,0.9186440677966101,0,0,nan,2115.634018429925,FAIL
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,x-0.4mz1.0m_1_20260825_132457_315,calibrated_ground_distance,2000.0,-0.29543356170670837,0.9364831532489887,0.9819784548053385,1.073557966033425,590,590,510,0.864406779661017,0,0,nan,2115.634018429925,FAIL
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,x-0.4mz1.0m_1_20260825_132457_315,calibrated_ground_distance,2503.678448310634,-0.29543356170670837,0.9364831532489887,0.9819784548053385,1.073557966033425,590,590,0,0.0,0,0,nan,2115.634018429925,FAIL
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,x-0.4mz1.0m_1_20260825_132457_315,raw_ground_distance,1800.0,-0.29543356170670837,0.9364831532489887,0.9819784548053385,1.073557966033425,590,590,590,1.0,0,0,nan,2528.6435939158105,PASS
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,x-0.4mz1.0m_1_20260825_132457_315,raw_ground_distance,2000.0,-0.29543356170670837,0.9364831532489887,0.9819784548053385,1.073557966033425,590,590,588,0.9966101694915255,0,0,nan,2528.6435939158105,PASS
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,x-0.4mz1.0m_1_20260825_132457_315,raw_ground_distance,2503.678448310634,-0.29543356170670837,0.9364831532489887,0.9819784548053385,1.073557966033425,590,590,382,0.6474576271186441,0,0,nan,2528.6435939158105,FAIL
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,x-0.4mz1.0m_2_20260825_132526_688,forward_z,1800.0,-0.29543356170670837,0.9364831532489887,0.9819784548053385,1.073557966033425,628,628,528,0.8407643312101911,0,0,nan,1924.578028072416,FAIL
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,x-0.4mz1.0m_2_20260825_132526_688,forward_z,2000.0,-0.29543356170670837,0.9364831532489887,0.9819784548053385,1.073557966033425,628,628,11,0.01751592356687898,0,0,nan,1924.578028072416,FAIL
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,x-0.4mz1.0m_2_20260825_132526_688,forward_z,2503.678448310634,-0.29543356170670837,0.9364831532489887,0.9819784548053385,1.073557966033425,628,628,0,0.0,0,0,nan,1924.578028072416,FAIL
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,x-0.4mz1.0m_2_20260825_132526_688,calibrated_ground_distance,1800.0,-0.29543356170670837,0.9364831532489887,0.9819784548053385,1.073557966033425,628,628,554,0.8821656050955414,0,0,nan,2116.1161592727763,FAIL
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,x-0.4mz1.0m_2_20260825_132526_688,calibrated_ground_distance,2000.0,-0.29543356170670837,0.9364831532489887,0.9819784548053385,1.073557966033425,628,628,527,0.839171974522293,0,0,nan,2116.1161592727763,FAIL
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,x-0.4mz1.0m_2_20260825_132526_688,calibrated_ground_distance,2503.678448310634,-0.29543356170670837,0.9364831532489887,0.9819784548053385,1.073557966033425,628,628,0,0.0,0,0,nan,2116.1161592727763,FAIL
development,Experimental_results/2026-08-25_environment_shift_observation_replay.csv,x-0.4mz1.0m_2_20260825_132526_688,raw_ground_distance,1800.0,-0.29543356170670837,0.9364831532489887,0.9819784548053385,1.073557966033425,628,628,628,1.0,0,0,nan,2529.219857269027,PASS
