collision_ffb_sequence,collision_ffb_publish_enabled,collision_ffb_publish_success,collision_ffb_risk_level,collision_ffb_active,collision_ffb_requested_magnitude,collision_ffb_pattern,collision_ffb_reason,collision_ffb_publish_error,source_frame,source_time_sec,send_monotonic_sec,elapsed_sec
127,1,1,PATH,0,0.0,off,no_alert,,128,4.252579,7992.829215818,9.359268158000305
128,1,1,PATH,0,0.0,off,no_alert,,129,4.284158,7992.863360664,9.39341300399974
129,1,1,PATH,0,0.0,off,no_alert,,130,4.321314,7992.897566943,9.42761928300024
130,1,1,PATH,0,0.0,off,no_alert,,131,4.353311,7992.9317655,9.461817840000549
131,1,1,PATH,0,0.0,off,no_alert,,132,4.383638,7992.966258777,9.496311117000005
132,1,1,PATH,0,0.0,off,no_alert,,133,4.422117,7993.000420846,9.530473186000563
133,1,1,PATH,0,0.0,off,no_alert,,134,4.451881,7993.034355309,9.564407648999804
134,1,1,PATH,0,0.0,off,no_alert,,135,4.483204,7993.068482718,9.59853505800038
135,1,1,PATH,0,0.0,off,no_alert,,136,4.521331,7993.102534892,9.632587232000333
136,1,1,PATH,0,0.0,off,no_alert,,137,4.552414,7993.136660988,9.666713327999787
137,1,1,PATH,0,0.0,off,no_alert,,138,4.584992,7993.170603506,9.70065584599979
138,1,1,PATH,0,0.0,off,no_alert,,139,4.61941,7993.204748212,9.734800551999797
139,1,1,PATH,0,0.0,off,no_alert,,140,4.652636,7993.238814821,9.768867161000344
140,1,1,PATH,0,0.0,off,no_alert,,141,4.684984,7993.273157308,9.80320964800012
141,1,1,PATH,0,0.0,off,no_alert,,142,4.718913,7993.30725315,9.83730549000029
142,1,1,PATH,0,0.0,off,no_alert,,143,4.752587,7993.341332585,9.871384924999802
143,1,1,PATH,0,0.0,off,no_alert,,144,4.784688,7993.375662754,9.905715093999788
144,1,1,PATH,0,0.0,off,no_alert,,145,4.821066,7993.410071942,9.940124282000397
145,1,1,PATH,0,0.0,off,no_alert,,146,4.851868,7993.444307163,9.974359503000414
146,1,1,PATH,0,0.0,off,no_alert,,147,4.884709,7993.478180545,10.008232885000325
147,1,1,PATH,0,0.0,off,no_alert,,148,4.920732,7993.51231803,10.042370369999844
148,1,1,PATH,0,0.0,off,no_alert,,149,4.950777,7993.546364649,10.076416988999881
149,1,1,WARNING,1,0.25,steady,ttc_warning:cadence_triple,,150,4.983019,7993.580169576,10.110221916000228
150,1,1,WARNING,1,0.25,steady,ttc_warning:cadence_triple,,151,5.021335,7993.614247895,10.144300234999719
151,1,1,WARNING,1,0.25,steady,ttc_warning:cadence_triple,,152,5.050675,7993.648515073,10.178567413000565
152,1,1,CLEAR,0,0.0,off,cadence_gap:triple,,153,5.084081,7993.682781151,10.21283349100031
153,1,1,CLEAR,0,0.0,off,cadence_gap:triple,,154,5.118563,7993.7171301,10.24718243999996
154,1,1,WARNING,1,0.25,steady,ttc_warning:cadence_triple,,155,5.15002,7993.751426619,10.281478959000196
155,1,1,WARNING,1,0.25,steady,ttc_warning:cadence_triple,,156,5.182046,7993.785648036,10.315700375999768
156,1,1,WARNING,1,0.25,steady,ttc_warning:cadence_triple,,157,5.218292,7993.81950374,10.349556080000184
157,1,1,CLEAR,0,0.0,off,cadence_gap:triple,,158,5.250142,7993.853558446,10.383610785999736
158,1,1,CLEAR,0,0.0,off,cadence_gap:triple,,159,5.282312,7993.887514121,10.417566461000206
159,1,1,WARNING,1,0.25,steady,ttc_warning:cadence_triple,,160,5.319734,7993.921528973,10.451581313000133
160,1,1,WARNING,1,0.25,steady,ttc_warning:cadence_triple,,161,5.35025,7993.955421455,10.485473794999962
161,1,1,WARNING,1,0.25,steady,ttc_warning:cadence_triple,,162,5.382906,7993.989558951,10.51961129099982
162,1,1,CLEAR,0,0.0,off,cadence_gap:triple,,163,5.419059,7994.023816069,10.553868408999733
163,1,1,CLEAR,0,0.0,off,cadence_gap:triple,,164,5.450854,7994.057942548,10.58799488800014
164,1,1,CLEAR,0,0.0,off,cadence_complete,,165,5.484275,7994.092107914,10.622160253999937
165,1,1,CLEAR,0,0.0,off,cadence_complete,,166,5.521437,7994.126012642,10.656064982000316
166,1,1,CLEAR,0,0.0,off,cadence_complete,,167,5.550176,7994.160157678,10.69021001800047
167,1,1,CLEAR,0,0.0,off,cadence_complete,,168,5.584437,7994.19421262,10.724264960000255
168,1,1,CLEAR,0,0.0,off,cadence_complete,,169,5.620768,7994.228396398,10.75844873799997
169,1,1,CLEAR,0,0.0,off,cadence_complete,,170,5.653727,7994.262539859,10.792592198999955
170,1,1,CLEAR,0,0.0,off,cadence_complete,,171,5.684341,7994.29646831,10.82652065000002
171,1,1,CLEAR,0,0.0,off,cadence_complete,,172,5.721454,7994.330323201,10.860375541000394
172,1,1,CLEAR,0,0.0,off,cadence_complete,,173,5.754103,7994.364152724,10.894205063999834
173,1,1,CLEAR,0,0.0,off,cadence_complete,,174,5.784621,7994.397953783,10.92800612300016
174,1,1,CLEAR,0,0.0,off,cadence_complete,,175,5.819618,7994.43176488,10.96181721999983
175,1,1,CLEAR,0,0.0,off,cadence_complete,,176,5.852936,7994.46561465,10.995666990000245
